country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,31050000
Afghanistan,AFG,"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,163213091
Afghanistan,AFG,Interest rescheduled (capitalized) (current US$),DT.IXR.DPPG.CD,32407566
Afghanistan,AFG,"Interest rescheduled, official (current US$)",DT.IXR.OFFT.CD,32407566
Afghanistan,AFG,"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD,0
Afghanistan,AFG,Multilateral debt (% of total external debt),DT.DOD.MLAT.ZS,651
Afghanistan,AFG,"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,725772873
Afghanistan,AFG,Net change in interest arrears (current US$),DT.IXA.DPPG.CD.CG,303982816
Afghanistan,AFG,"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,97006439
Afghanistan,AFG,"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,0
Afghanistan,AFG,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,122191000
Afghanistan,AFG,"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,0
Afghanistan,AFG,"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,546614662
Afghanistan,AFG,"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,568035000
Afghanistan,AFG,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,42853638
Afghanistan,AFG,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,402989940
Afghanistan,AFG,"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,0
Afghanistan,AFG,"Net flows on external debt, central bank (PPG) (NFL, current US$)",DT.NFL.DECB.CD,0
Afghanistan,AFG,"Net flows on external debt, general government sector (PPG) (NFL, current US$)",DT.NFL.DEGG.CD,665041017
Afghanistan,AFG,"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD,635182000
Afghanistan,AFG,"Net flows on external debt, other public sector (PPG) (NFL, current US$)",DT.NFL.DOPS.CD,0
Afghanistan,AFG,"Net flows on external debt, private guaranteed by public sector (PPG) (NFL, current US$)",DT.NFL.PRPG.CD,0
Afghanistan,AFG,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,-29858000
Afghanistan,AFG,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,665041017
Afghanistan,AFG,"Net flows on external debt, public sector (PPG) (NFL, current US$)",DT.NFL.DEPS.CD,665041017
Afghanistan,AFG,"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD,106335000
Afghanistan,AFG,"Net flows on external debt, total (NFL, current US$)",DT.NFL.DECT.CD,1288132679
Afghanistan,AFG,"Net transfers on external debt, central bank (PPG) (NTR, current US$)",DT.NTR.DECB.CD,0
Afghanistan,AFG,"Net transfers on external debt, general government sector (PPG) (NTR, current US$)",DT.NTR.DEGG.CD,549910403
Afghanistan,AFG,"Net transfers on external debt, long-term (NTR, current US$)",DT.NTR.DLXF.CD,513415000
Afghanistan,AFG,"Net transfers on external debt, other public sector (PPG) (NTR, current US$)",DT.NTR.DOPS.CD,0
Afghanistan,AFG,"Net transfers on external debt, private guaranteed by public sector (PPG) (NTR, current US$)",DT.NTR.PRPG.CD,0
Afghanistan,AFG,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,-36494000
Afghanistan,AFG,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,549910403
